right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
47.99,30.98,116.26,102.66,127.55,132.6,111.47
49.02,37.31,101.41,91.25,135.61,138.43,98.415
46.78,35.97,90.37,79.18,136.11,139.35,88.75
45.15,30.88,109.26,93.89,132.57,133.64,104.32
44.74,32.7,104.4,90.25,131.38,131.25,100.52
55.16,45.36,72.39,60.05,132.49,134.97,71.545
54.06,43.24,78.96,66.28,134.13,137.79,77.675
53.03,41.72,90.22,76.86,136.6,139.53,88.38
51.07,39.2,75.63,65.18,134.58,141.3,75.76
52.49,42.72,76.18,65.31,136.55,140.31,74.84
53.17,42.76,70.9,60.13,136.51,138.85,70.595
52.62,42.4,78.24,68.42,137.68,141.61,77.655
47.7,37.35,83.26,75.53,141.03,141.47,82.535
51.38,37.2,90.88,78.29,138.61,141.31,88.71
61.99,51.38,67.25,53.67,129.85,141.26,67.46
57.8,53.0,64.03,52.2,137.36,140.39,65.775
52.9,43.25,75.39,63.12,137.38,141.33,74.375
56.49,48.29,70.2,60.23,133.09,141.7,72.12
61.29,49.41,45.39,41.14,126.85,139.65,47.235
58.69,49.82,55.2,47.38,129.34,137.39,57.5
61.81,53.03,34.99,35.17,125.75,131.87,38.945
54.12,49.58,55.26,48.62,126.34,130.99,58.55
59.18,54.58,41.33,40.48,131.36,132.37,45.485
43.62,30.74,43.09,52.58,120.32,123.14,47.295
52.64,31.19,73.52,82.22,129.02,119.95,78.025
62.48,38.07,45.44,63.81,107.29,115.42,57.025
83.34,39.34,66.63,108.97,100.46,118.67,85.01
124.99,44.36,71.76,72.43,112.42,136.36,71.01
111.54,22.04,121.65,147.96,99.59,132.1,153.96499999999995
118.56,24.81,123.75,152.04,127.13,137.03,154.52499999999998
117.37,97.02,136.45,160.21,127.0,134.92,165.58499999999998
98.73,79.65,120.3,159.17,131.33,132.59,162.19
95.83,80.58,146.83,157.42,131.34,135.83,161.42000000000002
94.3,73.31,121.84,157.11,127.29,136.46,165.785
101.53,87.14,149.79,142.17,128.29,130.79,163.945
102.1,96.75,145.08,143.96,126.24,129.31,165.22
104.62,96.27,95.28,105.68,125.8,131.01,125.85
103.89,92.17,70.6,134.98,123.93,132.17,131.26
100.2,93.92,104.6,124.18,120.03,128.72,141.505
104.1,94.57,142.66,137.92,119.47,127.16,161.475
98.3,87.03,144.06,143.06,116.26,125.3,167.815
97.03,84.88,131.15,128.89,115.22,122.82,157.535
95.7,82.16,127.34,129.35,113.8,123.96,159.59
95.1,82.62,130.1,125.97,113.52,122.97,159.405
95.85,85.25,126.44,122.7,115.34,125.02,156.755
95.96,84.48,128.19,127.17,111.66,124.0,159.05
101.3,90.34,129.68,129.09,109.36,121.8,152.475
100.28,89.03,124.43,120.69,113.3,124.38,152.91500000000002
101.69,92.74,133.68,135.3,113.27,124.9,157.85
100.99,90.67,137.15,140.86,114.49,126.66,164.12
104.47,93.69,108.87,118.79,112.58,124.07,137.64999999999998
108.02,97.44,127.86,127.79,116.61,127.99,146.76
102.97,95.59,117.27,119.75,115.34,126.29,143.47000000000003
93.79,81.79,136.22,137.96,116.53,128.5,167.915
96.52,77.33,137.3,139.03,122.54,132.81,165.35
93.63,74.93,140.16,143.45,119.29,127.67,166.96499999999995
96.58,83.47,143.16,144.48,132.46,134.22,163.01
93.45,82.0,149.58,143.24,133.58,131.37,159.555
83.74,70.86,148.8,147.23,126.09,126.69,161.575
100.82,100.37,137.63,146.82,137.48,133.52,169.60500000000002
85.35,69.36,138.81,146.67,125.29,121.75,160.29000000000002
93.66,75.29,150.12,161.81,135.59,127.83,152.435
94.79,69.25,144.9,161.38,136.63,141.69,153.445
92.88,54.52,107.73,103.0,131.23,147.25,155.32999999999998
106.07,85.05,98.12,101.17,147.57,153.57,136.89499999999998
84.47,77.43,127.95,122.61,122.32,132.15,149.125
102.03,81.84,86.83,101.45,126.58,132.56,96.03
77.52,36.02,151.04,130.99,101.56,133.01,161.315
73.87,50.25,127.68,140.63,124.42,143.88,154.35000000000002
81.05,58.09,105.84,106.35,129.6,149.58,124.725
77.48,62.8,76.41,78.35,136.19,144.4,90.35
86.16,66.18,80.98,104.11,141.97,150.93,116.81
87.25,65.27,89.25,93.6,144.23,152.82,109.835
83.04,61.15,92.06,114.16,132.13,138.32,118.70499999999998
81.87,42.15,83.51,155.74,106.36,136.01,133.075
82.66,55.07,130.28,144.16,118.88,136.89,162.225
77.03,54.62,149.29,155.23,118.67,131.23,166.915
84.15,47.31,152.79,157.4,106.67,114.69,162.785
85.99,43.92,138.43,140.49,110.63,124.42,141.73000000000002
69.72,44.71,151.73,154.67,119.69,136.27,164.46
63.43,51.55,171.12,168.82,128.2,139.97,159.72500000000002
73.34,49.47,167.65,168.77,127.37,112.92,166.665
64.32,51.29,166.59,162.2,131.76,117.53,167.85500000000002
73.88,52.23,170.09,168.91,133.35,113.06,168.975
62.56,54.84,169.12,170.51,137.19,107.95,169.725
64.51,52.34,173.43,172.73,138.69,98.09,169.945
67.57,54.41,174.14,170.04,139.84,78.91,169.61
61.8,58.86,175.14,168.28,143.44,73.62,170.155
62.78,51.19,175.09,171.98,135.41,109.97,171.01999999999998
68.31,52.9,176.21,172.41,132.32,102.84,170.04500000000002
67.34,53.76,176.27,171.17,135.83,102.68,171.01999999999998
69.84,55.62,176.2,171.78,138.96,103.13,170.82999999999998
66.92,51.87,175.03,172.26,135.74,84.19,171.305
64.12,50.48,175.8,171.17,136.61,100.13,171.095
64.42,53.65,175.42,172.42,136.36,94.28,171.4
63.95,52.77,174.22,170.04,139.33,66.03,171.14499999999998
73.66,49.8,172.01,172.92,133.11,45.7,172.265
62.69,47.98,173.62,171.87,133.93,58.67,171.29
67.39,49.73,174.08,172.29,136.42,61.6,171.41000000000005
64.69,48.68,176.44,172.42,133.24,98.8,171.195
70.99,48.39,177.26,172.97,133.69,115.31,171.16000000000005
69.35,52.88,174.65,172.41,134.88,89.81,170.405
65.5,51.87,174.22,172.18,135.18,52.92,170.37
54.92,45.42,178.83,170.2,125.16,55.42,171.39499999999998
41.15,39.32,174.12,174.57,118.93,58.04,172.905
33.31,43.83,175.2,176.09,121.74,67.11,173.07999999999998
27.03,38.28,171.04,169.32,112.54,82.72,169.76
33.49,29.84,165.89,168.35,104.36,103.8,168.935
50.83,35.09,161.05,160.03,111.04,127.96,168.01
36.5,42.79,130.23,121.32,122.39,126.59,121.79
48.95,43.49,131.28,131.44,125.3,127.78,134.89499999999998
55.07,59.8,80.89,96.85,136.85,134.35,79.99000000000001
31.02,27.99,139.91,157.09,107.49,114.62,159.62
33.51,20.03,141.88,144.13,124.58,113.59,142.21499999999995
37.68,24.54,119.9,118.18,128.65,125.09,112.835
36.02,19.52,122.46,147.92,133.93,138.28,132.66500000000002
45.32,33.6,92.59,128.22,145.39,140.85,106.65
38.97,27.22,112.14,106.8,144.87,139.38,108.735
61.42,51.85,58.04,53.2,131.3,142.97,59.010000000000005
43.16,30.91,111.06,101.4,139.9,141.01,110.45
41.78,32.44,124.36,116.49,135.55,136.45,124.655
54.39,51.19,79.07,70.93,150.06,140.3,78.80000000000001
36.69,28.22,122.11,108.94,136.53,129.21,118.69
38.36,25.63,120.42,125.64,134.49,132.86,125.12
33.53,23.3,99.22,88.36,133.05,134.74,96.095
48.9,30.96,87.11,89.32,120.65,139.59,91.705
40.83,27.48,111.83,95.41,124.27,132.84,108.0
37.32,23.13,96.63,94.87,127.89,132.78,96.655
40.78,26.3,106.29,97.71,135.27,137.19,103.46
41.56,26.44,113.6,97.91,135.29,137.9,109.17
47.38,31.55,93.25,81.03,127.39,133.58,89.22
53.1,35.67,99.85,97.04,118.28,134.49,101.715
53.09,37.64,92.51,79.32,126.27,136.2,91.91
61.19,48.11,69.56,56.95,127.61,138.72,70.21000000000001
53.31,36.21,85.99,72.35,123.24,134.05,84.375
47.35,31.73,107.01,90.69,120.38,127.42,101.885
40.79,23.19,134.47,121.48,118.68,127.75,128.15
43.23,23.6,136.74,127.71,113.92,130.16,134.70999999999998
52.85,32.34,99.9,98.25,121.13,138.96,103.485
49.86,32.11,102.4,90.02,120.4,136.62,99.83
51.55,32.59,107.3,91.65,118.71,137.47,103.46
49.63,31.99,108.05,93.46,120.95,137.21,103.52
50.34,33.89,106.36,91.03,121.15,131.47,100.425
60.58,45.92,83.62,68.69,125.81,137.46,81.525
56.91,41.19,85.86,72.41,121.98,136.11,84.445
64.58,46.05,76.82,64.42,116.47,134.45,75.595
60.25,43.73,74.25,60.85,120.11,136.47,74.155
56.98,38.24,89.71,77.38,113.5,132.21,87.4
54.18,38.08,83.21,72.21,116.29,131.19,82.205
67.63,48.98,68.3,54.99,121.92,138.75,67.265
54.51,38.93,77.79,66.29,111.43,127.52,77.72
40.78,26.88,105.3,91.05,134.63,137.11,101.52
50.44,36.79,90.11,75.31,124.5,133.5,88.84
43.33,27.82,116.96,102.69,128.25,134.94,112.485
46.68,35.09,113.06,96.82,128.23,129.34,107.265
57.07,45.75,83.06,67.87,129.97,137.14,81.33500000000001
52.26,43.42,84.81,70.82,128.47,132.24,83.14
53.18,44.98,65.32,58.12,131.81,135.04,66.89
60.13,48.2,73.31,59.18,126.93,138.02,71.475
52.0,43.23,85.5,70.28,133.67,135.39,83.31
48.64,36.91,98.03,87.66,134.93,139.02,98.5
56.83,44.11,81.03,67.15,127.0,138.07,79.6
53.57,45.65,78.09,64.33,132.85,142.92,78.65
51.46,39.77,103.18,87.25,130.1,137.07,100.12
58.05,50.31,45.13,40.19,129.22,138.99,50.345
57.5,48.65,57.71,48.13,128.42,136.41,61.855
56.12,47.29,47.65,41.74,129.89,140.53,51.585
62.1,51.88,68.23,56.52,130.91,142.5,68.645
54.3,43.03,88.86,75.46,137.85,140.95,87.03999999999999
54.83,44.39,86.46,73.52,134.83,138.38,85.475
57.17,45.66,80.54,62.69,133.97,139.58,79.475
59.73,50.93,64.27,52.18,126.15,133.17,66.23
60.42,50.6,68.84,56.51,128.46,138.93,68.235
52.1,42.83,93.48,79.02,133.58,140.59,92.015
53.15,43.4,87.45,73.76,133.44,139.28,86.425
48.69,40.97,93.22,76.17,135.03,138.62,91.985
50.86,42.21,84.22,70.46,137.56,141.35,84.14
49.95,41.85,90.01,75.19,137.24,137.96,89.005
56.41,45.94,82.07,64.74,130.87,136.38,80.635
53.79,44.92,90.66,75.7,135.27,139.29,89.18
57.01,51.39,65.91,54.91,126.32,131.74,66.375
53.83,45.44,85.75,70.24,134.14,140.12,85.09
54.61,44.35,87.45,70.47,128.75,135.55,85.8
54.94,46.08,67.61,55.33,123.41,131.59,69.11
53.68,46.36,73.42,57.38,126.72,129.94,72.91
54.41,45.69,74.99,59.34,126.87,131.7,74.345
53.64,46.08,70.61,56.79,129.29,132.68,72.555
57.47,49.4,63.12,56.05,134.82,136.74,67.445
58.48,49.16,65.99,54.38,127.17,133.38,67.525
58.81,49.76,64.62,53.12,122.79,130.62,66.315
60.13,50.44,60.81,50.19,121.88,132.49,63.11
58.5,50.51,61.37,50.4,126.33,132.06,62.28
53.83,40.45,85.97,71.34,127.75,137.56,84.515
49.81,36.56,97.63,82.18,125.86,133.68,94.25
52.85,41.06,85.53,75.71,129.68,138.29,86.4
54.83,43.53,90.99,74.62,130.14,135.94,88.905
61.24,49.04,75.63,63.11,127.58,136.9,74.5
54.01,48.21,60.69,51.19,125.75,130.5,62.155
55.51,46.68,60.86,49.88,122.79,131.59,62.53
57.53,48.88,59.92,50.51,123.44,130.28,61.415000000000006
57.58,49.7,59.24,50.09,124.66,131.37,60.505
59.75,49.15,67.59,54.97,124.42,132.47,67.525
56.03,41.89,77.34,64.07,128.74,135.09,74.77000000000001
57.43,50.44,57.16,49.15,127.16,132.06,58.295
58.03,48.8,70.47,58.03,126.43,134.31,69.735
59.36,49.55,75.58,63.92,130.0,139.75,75.37
59.55,50.31,73.0,59.89,132.03,141.02,72.435
52.26,44.81,92.66,81.56,131.74,136.44,90.935
55.11,44.61,82.02,72.1,134.79,141.04,80.94999999999999
53.9,45.26,83.42,72.53,133.2,144.09,82.625
48.72,40.58,104.81,92.54,133.48,137.54,103.135
57.31,46.82,75.38,61.84,128.2,138.69,74.62
58.34,45.09,74.87,60.38,128.84,140.95,75.31
54.09,41.77,85.25,68.66,131.3,139.17,85.205
58.28,44.34,78.33,63.49,133.04,141.31,78.275
56.18,42.84,80.07,67.52,127.87,137.13,80.62
55.01,42.44,88.97,76.67,128.79,135.47,88.01
54.85,43.5,89.61,74.88,126.43,131.31,88.065
55.37,43.78,90.88,75.18,128.35,131.53,87.815
57.18,46.07,74.63,65.75,131.28,134.15,75.265
55.92,44.8,79.99,64.67,125.11,129.05,78.72
57.96,47.9,80.05,67.47,126.96,140.71,78.63
57.82,50.95,64.83,53.96,126.46,137.46,64.23
58.55,50.76,76.61,70.43,131.72,141.48,76.78
59.11,48.64,79.66,74.3,130.12,142.91,79.63
