right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
39.83,24.49,103.04,92.64,137.36,148.91,97.21
41.05,26.66,105.35,97.06,137.78,144.85,100.665
42.06,25.98,112.26,102.68,136.16,147.39,107.13
43.93,29.13,108.87,96.25,135.42,146.8,102.545
41.72,29.07,105.49,95.7,138.65,141.56,100.98
39.16,24.51,113.55,103.44,140.73,145.59,108.0
39.66,25.78,105.21,93.55,135.46,145.84,101.075
41.28,28.88,83.17,75.61,138.71,143.18,81.88499999999999
40.27,27.52,96.61,85.66,136.38,145.77,92.825
41.09,26.42,107.59,96.04,127.79,137.24,104.42
38.92,24.25,112.52,100.33,127.77,137.26,109.355
40.15,25.22,105.88,93.8,130.2,138.96,102.58
38.03,23.87,116.61,107.34,132.75,141.91,113.98
38.05,23.56,117.19,108.0,133.58,144.36,114.15
35.96,20.83,121.64,109.87,130.24,140.15,118.43
37.78,22.12,117.22,103.18,131.8,140.07,112.515
59.39,48.88,81.54,71.84,126.49,138.47,78.775
42.58,34.18,86.64,77.15,136.65,144.86,83.805
44.14,33.16,87.86,77.56,137.74,142.35,85.425
57.94,46.35,72.67,64.21,123.96,140.84,70.645
59.4,45.85,67.8,60.01,121.4,140.96,66.59
58.41,45.72,95.23,84.62,120.17,141.18,91.505
56.1,44.85,87.0,76.06,125.36,141.75,83.11500000000001
55.65,46.07,77.33,67.88,130.57,146.0,75.08500000000001
49.21,35.99,93.06,81.26,126.76,135.53,91.63
50.51,35.83,89.74,77.76,127.34,138.72,88.39500000000001
51.98,37.82,93.78,82.18,121.67,136.4,91.725
48.33,42.11,92.57,83.16,136.84,144.3,89.285
48.78,42.36,87.53,79.07,136.27,142.75,83.845
45.65,34.25,85.23,75.1,133.81,140.65,83.235
49.54,36.93,76.27,66.28,135.91,142.54,73.64
52.01,39.76,88.86,77.54,135.25,146.92,85.235
37.06,19.01,115.43,99.97,127.39,139.18,110.755
39.53,26.05,101.11,87.77,130.72,135.76,96.255
37.07,23.65,109.05,94.22,126.64,132.89,102.635
39.7,24.74,107.74,96.6,133.81,140.55,102.075
40.85,30.22,98.74,92.92,138.31,146.12,97.14
31.19,16.91,125.73,115.38,132.06,142.71,122.515
32.21,20.99,115.37,113.75,137.13,138.02,115.565
32.09,21.45,93.9,98.03,134.59,131.14,93.95
31.94,17.56,119.14,116.72,133.72,137.72,117.32
56.8,38.67,42.03,59.4,120.83,128.43,39.705
37.76,22.75,69.66,68.14,117.92,125.96,70.195
41.69,26.07,53.61,57.85,114.33,118.15,60.015
41.07,25.71,69.09,81.44,117.56,127.07,73.505
42.37,20.43,92.38,156.55,106.95,123.11,135.07999999999998
45.5,21.01,69.03,139.27,109.41,126.5,114.19
47.86,21.65,81.96,127.7,102.92,122.35,104.86
56.07,27.74,72.16,108.59,110.71,129.05,95.76
49.73,25.73,77.55,85.31,113.3,127.61,77.285
61.63,27.47,90.62,100.55,113.89,140.13,64.685
40.0,22.18,82.87,103.21,110.08,125.07,81.13999999999999
40.59,21.03,70.97,118.46,108.83,129.87,101.49
31.79,17.98,130.6,164.76,112.92,127.06,150.81
30.14,19.39,106.14,134.35,126.63,135.07,115.015
37.33,19.07,129.25,129.02,137.62,137.77,120.355
68.28,60.49,51.29,60.89,148.78,152.21,31.165
69.85,51.34,51.58,56.42,122.04,143.57,43.595
70.68,53.16,43.16,51.51,131.31,149.74,32.54
79.6,69.46,40.58,43.49,141.37,144.94,32.19
65.31,48.0,68.22,72.41,135.64,150.46,65.065
70.15,62.72,46.19,29.84,131.78,144.74,38.655
63.99,44.59,65.55,53.15,132.65,145.29,58.755
67.15,44.78,71.64,63.04,130.69,152.14,66.245
72.9,42.87,65.38,60.47,133.08,151.01,58.66
75.87,54.05,79.47,71.0,131.45,139.43,75.345
89.0,67.19,27.82,27.65,137.7,144.53,27.84
82.07,60.12,160.53,158.51,127.51,142.51,167.635
73.78,48.23,142.16,141.61,129.9,137.62,145.9
75.66,38.94,164.37,167.3,131.04,139.15,167.4
78.43,57.83,110.05,100.85,130.05,142.99,104.98
79.57,54.27,81.07,64.77,133.73,136.12,73.785
72.67,47.25,91.71,79.35,133.3,137.77,83.035
61.87,34.53,136.56,128.71,132.93,140.37,132.66
59.8,36.93,137.1,127.95,141.79,140.19,131.95
62.05,35.48,136.58,129.65,146.15,141.38,132.705
65.45,41.05,101.34,85.31,141.31,143.96,94.615
63.97,44.22,101.08,82.54,133.98,147.03,96.675
60.48,36.36,106.97,87.18,137.86,148.01,101.63
63.08,37.81,107.2,85.53,139.48,149.78,102.295
65.46,44.67,110.92,91.13,140.04,144.11,108.005
67.54,38.36,106.12,85.53,136.59,141.9,100.22
66.65,45.47,119.61,101.55,138.72,145.16,116.78
68.51,45.36,109.66,90.39,142.38,146.93,104.395
66.47,47.5,124.85,110.02,134.91,141.85,123.48
70.71,49.84,108.9,93.14,130.17,139.72,106.065
74.26,46.5,96.85,87.07,130.93,146.28,92.375
74.93,46.73,48.75,43.5,136.48,148.29,47.42
70.26,52.16,131.48,121.32,131.81,140.2,128.24
75.74,57.77,56.88,36.19,132.82,138.49,49.59
75.28,55.46,44.74,33.47,137.42,140.95,41.89
73.55,58.17,53.62,36.86,137.97,135.11,45.595
66.38,50.29,73.59,46.69,129.3,122.8,59.48
80.61,59.47,52.13,45.2,133.16,142.04,46.735
67.94,50.99,86.33,75.8,124.82,136.91,82.52000000000001
70.41,47.96,100.33,88.85,120.65,141.95,94.49
50.22,46.62,113.79,101.06,134.56,138.99,111.755
57.58,40.29,112.53,102.25,124.81,136.38,111.365
65.02,47.56,86.26,74.12,123.95,138.73,82.505
85.41,64.91,148.58,146.12,130.46,150.68,153.625
77.87,54.88,85.59,95.74,129.1,153.93,95.72
67.68,50.27,92.1,77.91,122.79,143.8,86.15
77.21,57.37,64.48,56.38,126.54,142.84,62.545
72.07,53.45,83.1,69.8,120.98,142.64,77.63
72.18,55.49,91.93,78.29,121.41,146.74,85.595
62.2,44.32,83.42,71.62,124.06,140.54,80.79
60.48,43.89,97.57,84.95,117.21,141.61,94.945
63.63,42.47,112.4,99.85,116.18,143.38,109.915
52.39,39.24,83.01,71.38,117.88,136.22,82.25
50.59,40.84,102.74,89.93,126.17,138.99,99.67
53.24,42.72,85.78,75.99,129.33,144.76,83.525
62.52,41.5,100.84,85.95,117.12,142.58,97.46
51.6,35.87,87.43,70.25,122.53,139.71,84.99000000000001
54.98,37.37,91.38,74.65,118.96,139.41,87.82499999999999
51.79,34.31,87.86,73.05,120.45,141.8,86.20500000000001
43.79,27.87,88.34,75.02,133.06,138.97,85.23500000000001
41.91,25.6,97.03,83.38,132.55,138.64,94.85
49.93,36.49,90.71,80.76,131.82,142.03,88.94
45.12,33.56,116.98,103.05,128.59,135.83,113.195
52.9,42.93,94.02,82.74,131.13,145.35,92.93
46.34,33.88,132.48,126.36,135.64,148.18,131.965
57.67,47.26,69.46,62.41,122.49,141.03,68.655
57.86,47.11,72.91,65.22,124.07,140.84,72.0
56.4,47.49,89.7,79.02,126.99,142.03,87.075
54.96,49.15,92.41,81.41,131.7,143.27,90.345
59.85,52.3,83.03,73.93,124.49,138.63,81.565
49.98,43.45,104.05,93.5,127.89,140.42,101.79
51.4,42.16,80.31,71.7,129.4,139.97,78.675
54.87,46.39,77.69,70.68,129.42,144.16,77.97999999999999
50.01,39.05,90.35,79.6,131.78,143.32,89.03
51.1,42.33,76.99,69.59,130.58,141.34,76.815
51.72,43.54,81.49,74.57,133.46,143.4,81.215
55.64,45.36,85.7,75.92,126.72,142.53,84.725
56.9,41.52,73.75,65.68,122.58,143.25,73.68
46.7,39.87,92.84,79.11,133.63,139.46,91.94
44.37,36.97,121.12,104.77,125.38,135.25,117.59
42.96,30.24,108.27,93.01,124.5,138.32,106.405
52.63,42.01,67.9,63.13,131.03,145.62,68.38
53.79,43.5,80.75,69.58,127.14,136.63,78.15
47.17,35.11,73.96,63.99,136.79,144.43,73.18
50.46,36.37,98.76,86.73,131.82,146.68,95.695
56.3,41.18,90.53,79.33,121.98,141.85,87.93
52.89,40.02,85.74,74.64,128.71,144.07,84.055
55.31,42.87,73.92,65.53,125.22,139.29,71.605
55.52,44.43,67.52,60.08,127.77,138.63,65.82
52.5,42.58,66.61,59.51,131.97,142.54,66.83500000000001
57.61,44.33,67.56,60.08,128.15,140.03,64.915
43.0,30.38,87.09,76.7,132.42,135.95,86.41499999999999
53.57,42.3,80.84,73.43,127.07,140.17,79.28
39.98,27.23,105.7,91.62,132.68,136.43,103.14
44.65,29.04,103.17,89.44,132.34,139.07,100.055
45.15,29.49,70.81,59.11,135.91,140.05,69.58
42.95,31.47,87.24,74.37,135.74,142.18,85.71000000000001
45.77,31.52,80.79,69.73,134.16,136.74,79.87
43.01,27.4,88.46,77.03,132.19,136.26,85.41
43.62,27.91,88.76,76.86,129.57,137.14,86.685
45.34,33.91,80.49,70.64,130.4,139.51,81.295
47.45,36.66,81.0,69.92,127.81,133.61,79.53
41.21,30.69,71.55,61.74,139.57,133.1,72.25
39.24,27.14,75.82,68.97,141.34,134.59,78.905
38.03,27.39,80.35,67.45,137.77,134.24,81.08
42.95,31.5,78.1,68.8,133.57,137.46,77.775
39.01,28.46,78.65,68.21,139.18,133.81,81.08
40.29,29.04,71.8,60.3,137.3,133.04,74.14
45.49,33.03,81.84,69.61,132.62,139.14,79.88
45.36,36.74,96.82,81.95,132.09,140.64,94.19
38.08,28.66,78.74,65.72,139.49,131.86,76.765
40.15,28.07,77.43,63.07,140.01,137.37,75.31
40.86,27.65,77.72,63.86,133.76,135.68,76.38499999999999
47.42,36.3,103.54,90.76,125.29,139.44,101.075
47.42,34.97,73.42,65.02,128.69,144.86,72.19
51.85,37.61,72.41,63.41,131.48,144.64,70.77
46.43,30.77,85.36,74.16,132.57,143.3,81.87
45.77,30.07,67.61,60.38,136.85,142.86,66.715
38.8,23.54,94.77,82.81,139.6,143.6,90.99
41.54,27.45,73.81,61.11,139.57,144.54,72.97
45.24,27.41,77.61,66.53,133.45,141.34,76.265
44.58,26.62,95.08,83.39,137.38,146.8,91.535
55.25,39.17,104.24,93.19,119.32,142.64,103.27
54.92,42.29,106.43,96.54,122.93,143.92,105.125
51.97,37.41,109.71,99.65,116.27,140.06,108.96
49.82,37.33,128.91,120.71,130.21,152.79,127.895
55.89,41.13,124.79,116.87,127.01,151.63,123.855
44.26,26.36,101.02,85.92,131.67,139.44,96.08
44.19,26.8,90.65,77.04,133.03,144.35,87.69
47.75,29.1,77.47,67.73,136.68,142.84,76.205
45.85,28.61,104.41,88.66,134.26,148.27,100.775
45.67,27.98,79.81,68.6,136.18,141.8,78.13
41.67,26.66,85.7,70.52,138.07,138.55,82.22
37.8,23.01,80.54,66.17,137.91,143.16,77.96000000000001
40.49,25.05,82.3,66.55,137.46,141.9,78.855
39.32,22.34,90.99,76.23,136.3,142.56,86.505
43.24,26.42,91.79,75.57,133.82,138.7,86.87
40.12,25.9,88.25,72.94,136.27,138.35,84.15
40.23,23.83,90.64,75.77,136.75,141.89,86.14500000000001
38.56,24.01,99.49,83.02,131.54,136.55,94.36
39.1,24.92,107.76,92.3,131.45,134.12,102.19
40.68,24.04,100.34,82.81,130.2,136.26,94.39
37.74,24.81,106.13,92.78,132.27,133.9,101.935
37.53,22.82,101.64,87.64,136.37,138.08,97.765
36.83,22.32,94.84,80.73,139.85,139.06,91.51
39.42,23.9,93.13,80.45,136.11,142.68,90.39
44.5,26.92,93.57,80.38,127.02,142.49,87.44
42.44,25.22,90.98,78.14,129.52,140.62,86.535
44.57,26.09,73.97,62.13,134.4,143.83,71.76
44.29,27.54,71.04,59.39,134.56,141.35,69.85
43.71,27.49,76.35,64.81,130.61,139.29,74.145
43.81,29.26,74.91,64.06,132.71,140.21,72.95
42.4,26.04,94.39,81.85,129.15,135.94,89.81
37.78,21.75,97.31,82.41,134.69,137.83,94.275
36.9,20.74,108.22,91.2,131.66,138.63,101.865
40.15,24.52,98.52,85.13,134.25,141.67,94.88
55.04,38.31,115.58,103.62,123.92,148.4,112.815
51.45,28.42,102.46,87.42,130.95,150.63,99.255
41.8,23.89,88.71,71.7,128.69,141.86,85.875
43.06,27.73,103.6,90.57,128.26,140.05,99.78
48.14,32.85,114.2,99.46,131.19,145.72,110.965
50.97,38.36,92.8,82.2,126.23,142.16,89.33
55.63,45.07,57.88,51.41,124.94,136.19,56.585
57.13,47.68,61.09,54.28,125.59,136.26,59.91
54.36,38.0,74.55,63.5,128.48,144.2,71.91
46.31,36.76,71.66,61.21,132.47,139.77,69.275
52.72,39.29,66.35,59.03,127.66,139.12,64.82000000000001
44.57,33.65,73.1,65.65,135.35,138.75,71.03999999999999
47.97,39.65,61.08,53.31,130.43,137.62,61.345
48.9,37.43,64.41,55.71,127.03,137.88,63.665
51.08,40.38,62.61,56.11,127.79,138.34,62.67
48.41,35.27,97.03,79.88,128.91,146.42,94.045
50.44,42.84,72.56,63.96,127.37,137.91,72.60499999999999
44.35,37.81,113.65,99.7,130.36,136.23,110.875
45.79,34.35,101.94,85.53,124.48,134.74,99.29
42.08,32.24,101.44,86.0,128.9,133.75,98.91
42.01,32.88,115.6,98.99,131.54,133.28,111.785
46.59,35.73,68.38,61.15,132.87,137.78,68.91999999999999
46.03,34.33,75.08,66.25,131.77,141.21,75.075
49.98,39.89,68.63,60.12,127.91,139.73,67.255
50.12,41.44,73.74,65.39,128.59,142.58,72.86
48.71,41.02,70.07,65.07,137.11,141.15,68.985
48.81,33.37,83.56,69.25,128.02,141.83,80.63499999999999
53.16,33.78,77.08,70.3,124.06,140.09,77.27000000000001
49.53,35.42,86.14,72.6,129.53,141.84,84.07
51.8,38.84,89.47,76.63,129.1,141.09,86.515
51.26,39.44,68.42,60.69,132.6,140.84,68.025
49.92,39.26,65.58,58.82,132.59,139.46,65.07
49.66,39.12,66.73,59.93,132.29,138.5,65.575
53.07,42.56,71.06,63.76,129.28,140.17,69.795
53.64,41.43,66.01,59.44,130.8,142.33,65.355
42.4,26.04,94.39,81.85,129.15,135.94,89.81
37.78,21.75,97.31,82.41,134.69,137.83,94.275
36.9,20.74,108.22,91.2,131.66,138.63,101.865
40.15,24.52,98.52,85.13,134.25,141.67,94.88
55.04,38.31,115.58,103.62,123.92,148.4,112.815
60.72,36.9,102.24,88.76,126.98,152.16,100.615
41.8,23.89,88.71,71.7,128.69,141.86,85.875
43.06,27.73,103.6,90.57,128.26,140.05,99.78
48.14,32.85,114.2,99.46,131.19,145.72,110.965
50.97,38.36,92.8,82.2,126.23,142.16,89.33
55.63,45.07,57.88,51.41,124.94,136.19,56.585
57.13,47.68,61.09,54.28,125.59,136.26,59.91
54.36,38.0,74.55,63.5,128.48,144.2,71.91
46.31,36.76,71.66,61.21,132.47,139.77,69.275
52.72,39.29,66.35,59.03,127.66,139.12,64.82000000000001
50.42,35.07,97.78,80.8,128.03,147.82,93.66
47.97,39.65,61.08,53.31,130.43,137.62,61.345
50.84,37.85,82.07,66.6,128.79,144.08,79.25
52.19,37.31,87.91,71.58,127.11,144.62,84.965
48.41,35.27,97.03,79.88,128.91,146.42,94.045
52.53,35.47,79.25,64.99,127.62,142.46,76.16499999999999
44.35,37.81,113.65,99.7,130.36,136.23,110.875
45.79,34.35,101.94,85.53,124.48,134.74,99.29
42.08,32.24,101.44,86.0,128.9,133.75,98.91
42.01,32.88,115.6,98.99,131.54,133.28,111.785
41.01,32.81,115.91,100.82,131.25,130.63,113.59
47.13,31.36,94.35,81.33,127.22,141.13,90.76
52.22,31.77,97.11,80.91,123.97,140.86,92.035
47.23,29.83,100.6,86.1,127.62,138.3,96.075
48.76,34.56,83.65,70.71,131.54,144.26,81.66
48.81,33.37,83.56,69.25,128.02,141.83,80.63499999999999
53.16,33.78,77.08,70.3,124.06,140.09,77.27000000000001
49.53,35.42,86.14,72.6,129.53,141.84,84.07
51.8,38.84,89.47,76.63,129.1,141.09,86.515
51.26,39.44,68.42,60.69,132.6,140.84,68.025
49.92,39.26,65.58,58.82,132.59,139.46,65.07
49.66,39.12,66.73,59.93,132.29,138.5,65.575
53.07,42.56,71.06,63.76,129.28,140.17,69.795
53.64,41.43,66.01,59.44,130.8,142.33,65.355
53.45,41.65,66.94,59.66,128.44,141.17,65.03999999999999
55.06,40.28,68.91,59.67,127.06,142.59,66.94500000000001
47.82,36.86,75.46,67.72,131.73,138.3,74.555
45.88,37.2,77.4,69.75,130.14,133.33,75.11500000000001
55.59,42.28,65.4,59.5,130.65,142.45,63.84
52.45,40.3,75.92,66.3,127.82,140.63,73.85
49.06,36.72,88.05,74.88,132.46,144.05,85.35499999999999
50.69,39.81,74.55,66.46,134.94,143.25,71.435
41.88,30.59,128.22,113.69,126.82,135.75,124.145
45.35,34.19,76.21,67.36,136.99,144.29,75.31
48.44,38.8,72.63,65.7,136.92,145.31,70.905
43.46,38.26,114.14,98.88,133.42,133.27,109.785
47.33,35.55,67.8,61.81,133.44,144.71,65.995
50.31,35.39,69.43,61.45,121.75,136.42,67.925
48.01,35.14,69.65,60.32,129.03,138.08,68.59
48.08,34.58,69.21,60.49,127.21,136.69,68.56
47.51,35.14,73.47,64.46,127.28,138.88,73.19
46.91,34.57,75.55,62.92,129.15,137.39,74.905
44.37,34.12,73.85,64.02,132.63,139.11,74.0
44.09,32.91,73.99,63.61,131.82,139.8,74.21000000000001
43.68,30.99,86.17,73.61,128.87,135.82,86.06
45.74,35.12,83.89,71.9,127.02,134.4,82.7
45.4,32.06,90.63,77.06,128.27,136.44,87.1
37.38,26.72,121.15,105.58,134.36,132.45,116.54
37.87,28.08,112.45,98.74,130.05,129.87,106.98
39.54,30.28,111.78,95.72,132.64,130.45,107.405
37.86,29.04,124.33,109.93,131.58,127.18,119.48
35.84,27.28,141.15,130.71,129.1,128.11,136.555
36.14,28.81,127.06,112.54,132.55,126.21,122.775
36.18,26.54,122.66,106.47,131.59,129.78,117.265
35.13,25.87,118.98,104.76,130.64,129.85,113.49
36.48,24.75,105.9,91.76,130.38,131.48,101.715
37.04,22.2,112.98,98.59,133.4,138.66,110.295
36.28,24.18,124.66,110.44,130.58,129.98,120.675
36.88,23.74,123.52,109.67,130.75,129.24,119.205
37.51,22.2,121.32,106.78,126.61,131.06,118.285
35.99,23.47,121.71,107.52,129.65,134.74,117.13
36.72,23.34,109.86,95.67,133.86,133.99,105.24
36.56,25.86,121.09,104.07,134.54,133.09,115.47
42.62,31.21,111.05,93.53,130.13,129.06,105.225
36.53,25.22,109.42,98.02,139.5,142.73,105.43
36.33,24.01,102.48,90.84,135.96,141.33,100.46
39.17,26.18,86.89,76.92,136.54,139.6,85.41499999999999
37.15,24.98,89.5,89.91,139.0,139.92,91.995
35.97,24.22,104.73,95.79,139.57,140.68,101.995
40.8,26.36,102.13,89.6,135.55,145.01,97.14
42.13,30.46,79.37,73.95,137.34,141.07,79.99
44.85,35.26,82.4,74.32,135.33,143.33,80.995
43.44,33.04,99.59,89.44,134.72,142.79,95.425
44.68,32.75,95.59,81.87,135.09,144.15,91.82
44.19,36.17,109.21,98.75,134.23,136.38,105.985
42.68,30.82,100.06,87.18,133.22,143.73,96.44
44.29,32.59,98.57,88.17,138.24,145.77,95.265
45.5,34.99,108.91,96.85,134.04,142.95,103.55
48.86,38.1,102.61,89.71,130.73,142.5,98.06
47.4,36.59,102.08,88.44,131.2,142.36,97.41
38.12,26.05,113.7,103.21,135.23,140.9,110.04
39.48,27.83,114.16,101.97,131.31,140.51,110.125
43.24,35.98,105.48,90.9,137.4,136.29,102.085
45.8,39.94,119.08,104.74,133.73,138.81,114.565
48.09,43.65,91.32,76.95,128.16,133.14,89.065
46.74,40.89,106.44,91.93,125.61,137.02,102.705
