right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
105.05,78.78,90.42,86.1,109.43,124.04,99.08
106.73,71.65,113.67,107.43,106.48,122.78,124.115
112.45,49.77,108.89,107.34,92.43,119.81,116.47
110.8,52.67,102.17,105.9,98.53,122.72,117.69
108.73,46.86,97.56,111.36,95.77,122.33,119.555
108.95,65.17,63.97,81.19,106.05,121.66,85.33500000000001
109.66,55.94,83.58,92.86,97.06,123.29,102.135
108.67,53.29,69.64,83.23,102.62,124.2,88.405
111.02,84.86,102.1,98.73,113.11,124.83,121.195
115.73,87.99,97.73,94.71,114.12,131.21,119.325
117.05,101.78,95.49,87.75,128.26,133.61,114.01
115.2,96.34,96.11,86.55,123.48,131.05,112.73
110.69,89.08,127.05,117.29,117.66,127.87,143.625
109.81,53.39,89.15,102.5,99.4,125.06,112.78
111.72,63.35,69.21,88.75,105.46,125.8,95.475
108.51,57.35,130.78,129.4,100.96,124.81,147.95999999999998
115.02,95.69,112.1,99.58,123.29,130.89,123.915
118.67,57.01,75.31,91.29,101.07,128.15,96.5
113.59,84.38,125.65,122.76,114.83,129.78,142.35
114.78,54.85,99.17,99.85,98.8,127.54,115.8
111.39,69.66,111.61,104.71,107.76,127.55,126.965
110.78,92.7,110.3,107.38,120.21,128.55,126.48
112.84,101.66,124.82,124.85,126.65,128.72,141.43
114.44,103.18,119.75,120.37,126.07,130.14,137.615
109.01,65.5,108.44,108.91,103.31,125.8,127.25
110.84,71.61,122.43,120.05,108.09,128.18,143.095
108.16,65.87,112.7,122.82,103.81,125.87,136.49
109.36,74.03,115.48,118.08,105.62,127.44,137.105
106.31,65.52,109.1,116.04,105.06,125.7,133.265
108.69,96.62,116.79,113.53,125.14,129.7,137.63
107.14,83.6,132.08,127.02,119.54,129.08,154.125
107.53,73.14,128.3,133.16,106.66,126.09,151.015
105.87,84.07,127.6,120.9,119.39,124.41,142.985
104.7,69.57,70.25,78.03,113.16,125.76,96.875
109.76,87.41,106.67,109.59,121.68,124.72,126.775
111.39,84.22,89.69,104.76,117.69,125.61,116.25
111.38,72.3,92.9,100.3,106.79,126.18,112.755
104.55,69.8,62.19,105.22,112.82,123.73,109.585
109.81,71.11,68.71,90.2,109.23,123.65,98.115
107.27,65.76,72.85,93.98,107.66,123.51,102.925
105.54,71.46,74.5,91.82,116.97,122.87,103.465
112.25,86.74,118.24,112.57,122.28,130.04,138.29000000000002
