right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
70.53,67.04,38.86,43.19,149.45,152.82,34.355000000000004
72.77,69.62,36.84,39.9,149.35,148.35,32.32
62.07,64.37,39.73,41.15,151.4,148.16,38.87
66.08,65.52,38.79,41.61,152.36,148.4,35.23
67.15,68.38,37.26,38.37,150.46,148.65,36.23
69.03,67.72,36.58,38.72,149.44,148.99,35.195
68.49,69.69,38.63,39.03,151.21,150.23,36.620000000000005
64.08,56.7,48.31,46.21,144.27,149.48,42.535
61.84,56.83,48.43,47.16,144.78,150.15,41.865
61.86,53.59,47.57,45.07,139.81,150.27,42.21
65.13,63.07,43.14,41.82,145.36,149.39,37.39
67.59,66.13,36.21,36.05,145.26,148.5,35.075
61.83,60.34,45.24,41.26,148.61,145.51,43.09
66.19,67.5,37.13,38.39,149.09,145.28,33.92
67.5,65.56,42.49,40.54,146.56,146.2,37.335
74.27,72.08,36.38,35.14,141.35,145.0,30.93
76.01,74.38,34.16,33.83,142.18,145.06,29.99
71.47,69.23,41.12,39.53,145.4,148.24,35.06
63.02,64.39,41.26,41.72,147.2,146.05,38.77
59.26,58.86,44.65,42.64,147.95,148.07,39.165000000000006
55.39,51.9,50.33,48.08,148.52,146.45,45.94
61.98,62.5,43.85,44.46,144.68,147.97,38.78
64.98,65.07,40.4,40.83,142.96,146.21,35.735
64.33,63.25,42.79,43.13,143.83,149.2,37.485
65.71,66.47,39.98,40.72,149.64,147.19,36.025000000000006
65.94,65.36,45.14,42.61,145.41,148.64,37.185
70.17,68.74,41.88,38.93,146.42,148.45,35.205
71.84,70.88,43.45,40.17,147.37,150.08,34.03
74.35,70.73,39.71,38.55,145.65,151.97,32.88
68.91,67.63,39.21,39.3,144.99,148.96,32.91
66.28,66.17,39.58,40.76,139.55,146.8,34.195
71.24,67.93,40.22,42.64,148.01,151.44,34.675
66.93,60.01,39.64,40.27,148.18,155.66,36.25
64.42,51.4,37.01,36.98,143.14,152.27,39.255
