right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
55.04,40.24,112.89,102.79,121.87,148.05,111.375
46.41,33.0,129.65,121.1,117.97,146.96,127.77
44.14,28.42,107.97,97.47,116.77,145.09,112.235
44.56,31.38,124.18,113.83,116.91,146.74,123.905
44.98,31.06,97.96,89.3,124.61,151.09,100.925
44.76,31.34,122.29,114.47,124.33,153.36,125.105
45.89,42.04,56.39,53.59,132.37,149.97,64.88
59.48,48.37,54.66,52.54,122.35,132.32,62.965
67.63,61.92,39.93,32.73,135.49,135.26,44.275
76.68,66.05,30.32,30.2,129.31,123.56,35.5
81.62,45.38,48.68,45.26,119.11,124.15,54.415
90.07,34.87,60.7,61.3,117.26,127.61,65.30499999999999
81.05,18.54,139.82,137.65,98.58,120.34,153.09
74.61,18.46,150.93,141.12,95.36,121.71,165.49
81.13,19.1,137.09,138.5,77.41,104.01,149.31
81.39,51.46,146.17,155.46,84.69,138.26,154.595
84.99,34.21,154.05,157.59,89.32,138.41,156.0
83.11,44.71,134.89,145.68,78.7,142.88,157.31
103.28,17.19,108.7,127.85,89.67,149.11,140.85
113.78,16.25,83.56,115.52,78.02,150.91,127.365
91.51,73.75,167.68,170.64,51.8,129.07,149.51
108.05,48.36,160.36,162.74,49.94,142.59,151.625
117.41,26.88,156.2,163.44,54.18,152.71,156.48000000000002
120.35,10.91,148.83,159.3,56.04,144.92,163.245
121.82,13.47,61.54,85.91,75.72,153.24,99.215
123.73,18.22,68.53,79.11,73.29,155.28,101.38
100.75,42.03,165.4,165.54,57.05,117.41,152.125
122.72,31.67,102.9,107.74,82.86,154.35,120.845
115.06,17.66,77.05,99.82,78.36,151.44,116.97
106.73,16.19,99.62,102.79,86.81,146.72,136.31
111.32,18.2,112.07,121.95,73.82,147.66,141.5
101.02,31.31,116.78,128.35,73.13,145.26,148.725
93.29,40.7,130.96,138.31,74.56,139.0,154.815
95.78,33.92,149.98,152.41,73.11,144.17,154.635
93.5,37.05,154.13,157.32,70.53,140.45,151.67000000000002
88.09,48.7,150.33,155.99,70.11,138.7,150.81
106.84,24.39,125.16,135.67,70.68,146.1,154.42
93.12,54.79,147.74,152.72,59.98,139.48,150.835
108.31,17.47,101.42,110.79,69.59,146.81,131.28
93.48,42.95,147.91,153.26,64.72,140.23,152.595
91.77,47.07,130.97,143.32,72.58,139.57,155.195
85.59,45.33,152.2,162.39,67.63,140.39,151.195
93.42,31.8,169.88,165.99,77.73,137.44,152.79500000000002
103.54,30.11,83.29,102.41,80.44,147.17,128.39499999999998
102.03,40.45,118.22,126.52,72.4,144.28,150.54
91.95,50.54,126.47,131.52,71.13,145.68,151.37
101.17,34.52,141.58,144.48,85.6,138.15,151.39
102.08,27.79,140.65,139.89,80.94,141.17,151.04500000000002
100.32,36.02,126.91,130.66,75.05,138.96,150.78500000000005
88.23,57.46,143.68,152.04,66.95,123.14,150.10500000000002
99.44,43.41,144.49,151.42,73.48,136.9,154.365
94.2,40.16,107.91,119.33,81.03,140.39,148.685
94.16,53.18,132.77,141.75,65.92,133.26,150.465
97.62,40.35,132.66,138.36,73.3,140.1,152.03500000000005
104.04,28.7,128.03,134.68,69.29,147.59,151.41
108.24,19.97,137.48,138.78,70.74,148.5,152.645
90.81,40.52,146.63,154.67,70.65,132.76,151.365
