right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
62.97,59.69,46.87,47.67,130.96,145.49,51.68
85.15,77.7,27.17,28.93,138.17,152.53,30.105
73.57,72.1,27.55,28.07,142.19,156.0,27.09
68.33,57.26,30.36,29.79,128.48,153.4,31.425
75.11,67.79,23.65,27.54,133.92,154.44,26.35
83.18,73.41,18.51,24.22,130.44,147.61,23.81
82.31,78.72,18.33,15.9,138.22,140.91,19.725
94.59,85.62,19.18,18.74,142.02,151.22,19.46
76.45,67.22,25.98,30.44,132.6,146.06,26.99
68.87,69.84,26.32,28.54,138.44,151.27,29.195
78.25,77.51,22.76,23.42,140.58,148.12,22.05
78.8,67.9,26.28,20.32,134.74,152.73,27.08
59.43,56.55,53.79,50.26,128.24,144.0,57.295
99.18,91.76,14.02,14.57,145.4,149.42,15.04
74.8,68.83,27.99,25.61,135.45,148.96,30.15
67.58,57.97,45.44,40.62,126.93,144.97,46.235
81.34,70.2,30.06,24.51,133.23,148.33,31.16
67.84,60.01,43.57,42.26,127.0,143.95,47.275000000000006
63.75,54.8,46.27,45.33,126.35,141.13,51.73
71.36,65.07,30.24,37.32,130.87,148.08,31.175
77.27,70.26,27.46,29.9,135.93,151.2,29.335
68.64,68.24,19.14,25.27,136.47,146.08,24.85
60.46,58.35,28.87,30.63,130.79,139.74,31.685
60.49,61.81,25.45,27.71,130.51,137.39,30.66
67.62,59.29,27.8,32.02,132.83,150.44,28.285
56.62,41.52,31.55,45.29,126.86,145.01,33.46
70.81,62.28,27.39,31.01,126.28,145.14,30.36
77.99,65.09,17.32,29.18,132.81,150.98,23.81
68.18,52.64,19.71,36.41,122.61,142.88,28.44
61.95,49.97,35.66,40.58,124.1,134.44,43.870000000000005
54.2,24.43,58.03,64.81,107.89,131.52,60.475
47.47,34.32,57.93,77.61,104.21,130.32,46.445
35.13,17.58,102.99,101.43,81.99,113.13,97.32
52.95,23.57,69.75,66.73,87.25,117.32,87.93
59.47,24.85,108.05,117.02,94.84,118.21,133.91500000000002
73.11,24.45,109.04,121.5,102.39,128.83,135.365
69.71,22.9,150.14,145.25,113.02,135.56,169.84
82.11,27.53,152.52,149.16,86.38,138.26,170.76999999999998
104.66,37.63,84.33,110.26,63.73,142.18,105.97
103.39,47.13,109.64,119.81,83.67,135.44,118.695
115.56,108.71,66.74,75.27,145.59,149.28,74.43
118.99,78.95,61.67,76.36,110.38,142.23,52.385
116.59,49.48,83.28,95.52,94.38,144.7,60.575
106.33,20.26,96.09,103.55,102.84,137.01,106.805
107.56,33.01,72.72,80.83,107.79,143.22,89.50999999999999
116.59,22.49,70.96,85.79,96.42,146.36,70.755
109.69,19.67,52.53,48.93,103.74,141.2,71.33000000000001
131.06,40.86,70.45,80.99,118.54,142.57,93.635
119.65,24.63,115.82,96.92,109.2,136.78,109.61
110.23,14.93,128.62,130.52,92.96,137.29,137.56
112.24,9.22,121.03,130.63,138.12,133.79,131.345
116.42,13.78,125.59,130.12,111.6,138.79,133.315
124.37,16.98,130.39,146.98,136.93,138.49,142.44
105.18,13.07,115.44,121.35,104.3,135.93,130.975
98.76,14.83,122.18,128.44,89.61,140.7,150.88
136.93,25.64,166.13,176.44,97.76,144.44,174.115
138.51,57.09,88.85,151.73,100.08,144.15,133.275
134.83,59.18,60.65,106.72,105.21,143.95,96.335
138.67,59.02,147.48,163.55,106.8,147.62,163.89499999999998
135.06,49.92,164.55,171.38,103.37,143.41,165.36
123.4,29.87,63.87,89.36,91.26,142.59,99.38
98.77,18.09,106.36,109.9,92.92,138.09,114.385
108.85,10.22,133.2,114.41,111.5,140.99,128.64
102.1,17.74,108.99,112.17,103.22,141.76,130.64499999999998
112.12,16.49,126.89,115.73,99.18,145.19,131.615
119.82,20.4,103.17,101.76,84.46,145.93,103.99
120.12,20.04,116.57,110.34,82.42,145.21,111.205
119.77,19.48,106.63,106.23,90.31,146.86,112.77
124.53,21.59,116.14,112.53,93.48,146.01,116.89
119.74,18.41,99.96,102.32,84.53,144.4,107.16
129.32,26.3,84.72,81.15,83.24,151.12,80.98
111.23,21.56,98.14,93.6,92.78,139.27,102.52
116.75,14.83,111.64,103.7,96.26,142.8,116.175
99.41,19.51,100.87,95.58,78.4,142.32,106.3
114.76,16.77,113.06,111.23,95.29,144.23,121.83
117.81,23.59,98.03,114.83,92.52,150.03,112.95
114.9,23.08,112.79,120.01,86.0,144.83,118.58
85.78,14.66,92.62,106.67,96.0,142.96,121.46
96.31,15.45,82.27,97.13,83.34,142.37,101.71
116.47,7.38,90.67,104.23,92.8,145.13,99.39
109.15,13.3,99.96,109.59,96.76,146.58,113.645
98.62,13.01,108.56,114.62,101.71,142.79,126.445
94.9,10.02,104.13,111.64,103.89,141.17,125.84
111.08,45.64,119.4,109.96,118.99,144.12,130.105
124.09,31.26,114.13,115.94,101.78,141.16,110.12
123.32,41.1,117.81,117.42,99.31,141.54,117.59
